Date,equity
2007-07-11,1000000.0
2007-07-12,1000000.0
2007-07-13,1000000.0
2007-07-14,1000000.0
2007-07-15,1000000.0
2007-07-16,1000000.0
2007-07-17,1000000.0
2007-07-18,1000000.0
2007-07-19,1000000.0
2007-07-20,1000000.0
2007-07-21,1000000.0
2007-07-22,1000000.0
2007-07-23,1000000.0
2007-07-24,1000000.0
2007-07-25,1000000.0
2007-07-26,1000000.0
2007-07-27,1000000.0
2007-07-28,1000000.0
2007-07-29,1000000.0
2007-07-30,1000000.0
2007-07-31,989907.6494419556
2007-08-01,1000637.9430208663
2007-08-02,1005485.5021431124
2007-08-03,997625.1319035498
2007-08-04,997625.1319035498
2007-08-05,997625.1319035498
2007-08-06,1020314.8795499828
2007-08-07,1021385.6166260296
2007-08-08,1036295.7939380845
2007-08-09,1014785.4616259707
2007-08-10,1009312.6423889647
2007-08-11,1009312.6423889647
2007-08-12,1009312.6423889647
2007-08-13,1009311.8770286811
2007-08-14,997124.4785742807
2007-08-15,993316.4847385462
2007-08-16,994778.7283788898
2007-08-17,998399.5440664974
2007-08-18,998399.5440664974
2007-08-19,998399.5440664974
2007-08-20,1004513.626387427
2007-08-21,1005847.541971392
2007-08-22,1009674.3560215444
2007-08-23,1013114.7369172939
2007-08-24,1019783.9258994274
2007-08-25,1019783.9258994274
2007-08-26,1019783.9258994274
2007-08-27,1013988.6329096576
2007-08-28,1003000.0650798421
2007-08-29,1011010.1151361795
2007-08-30,1009320.3007088806
2007-08-31,1013271.7861206982
2007-09-01,1013271.7861206982
2007-09-02,1013271.7861206982
2007-09-03,1013271.7861206982
2007-09-04,1029618.4254973335
2007-09-05,1023756.5145676455
2007-09-06,1028515.66549282
2007-09-07,1017101.2546721563
2007-09-08,1017101.2546721563
2007-09-09,1017101.2546721563
2007-09-10,1017718.481795063
2007-09-11,1028057.8377158404
2007-09-12,1035113.782598354
2007-09-13,1038987.8540810235
2007-09-14,1041894.71140322
2007-09-15,1041894.71140322
2007-09-16,1041894.71140322
2007-09-17,1040845.9498532844
2007-09-18,1066141.8479721595
2007-09-19,1073418.3748249563
2007-09-20,1068692.7736513093
2007-09-21,1071560.2180815558
