Date,equity
2007-07-11,1000000.0
2007-07-12,1000000.0
2007-07-13,1000000.0
2007-07-14,1000000.0
2007-07-15,1000000.0
2007-07-16,1000000.0
2007-07-17,1000000.0
2007-07-18,1000000.0
2007-07-19,1000000.0
2007-07-20,1000000.0
2007-07-21,1000000.0
2007-07-22,1000000.0
2007-07-23,1000000.0
2007-07-24,1000000.0
2007-07-25,1000000.0
2007-07-26,1000000.0
2007-07-27,1000000.0
2007-07-28,1000000.0
2007-07-29,1000000.0
2007-07-30,1000000.0
2007-07-31,989907.6473804216
2007-08-01,1000638.251341328
2007-08-02,1005485.7327654231
2007-08-03,997625.0910087836
2007-08-04,997625.0910087836
2007-08-05,997625.0910087836
2007-08-06,1020314.8198843467
2007-08-07,1021385.8072180636
2007-08-08,1036295.5575233453
2007-08-09,1014785.6712313283
2007-08-10,1009312.6007166723
2007-08-11,1009312.6007166723
2007-08-12,1009312.6007166723
2007-08-13,1009311.5825604163
2007-08-14,997124.6299084964
2007-08-15,993316.5781682556
2007-08-16,994778.7633060196
2007-08-17,998399.2298129861
2007-08-18,998399.2298129861
2007-08-19,998399.2298129861
2007-08-20,1004513.6027559261
2007-08-21,1005847.440791335
2007-08-22,1009674.9912924807
2007-08-23,1013114.7125141328
2007-08-24,1019783.6317598021
2007-08-25,1019783.6317598021
2007-08-26,1019783.6317598021
2007-08-27,1013988.4548280467
2007-08-28,1003000.0628633026
2007-08-29,1011010.5598614367
2007-08-30,1009320.5129156032
2007-08-31,1013271.8995914116
2007-09-01,1013271.8995914116
2007-09-02,1013271.8995914116
2007-09-03,1013271.8995914116
2007-09-04,1029618.5745763025
2007-09-05,1023756.3847371476
2007-09-06,1028516.0836171975
2007-09-07,1017101.4424788875
2007-09-08,1017101.4424788875
2007-09-09,1017101.4424788875
2007-09-10,1017719.0921500531
2007-09-11,1028057.7101466163
2007-09-12,1035113.6810672288
2007-09-13,1038987.9646556852
2007-09-14,1041894.8717666833
2007-09-15,1041894.8717666833
2007-09-16,1041894.8717666833
2007-09-17,1040846.3135452433
2007-09-18,1066142.1323880318
2007-09-19,1073418.6120675697
2007-09-20,1068692.829491077
2007-09-21,1071560.4308785596
